15-10-09 16:34:36 Info         10 6116 ST-XX NxS5LK STARTUP |   ResetOptionANWCheckMode ....... [1]
15-10-09 16:34:36 Info          9 6116 ST-XX NxS5LK STARTUP |   ResetOptionANWCheckFW ......... [1]
15-10-09 16:34:36 Info          8 6116 ST-XX NxS5LK STARTUP |   ResetOptionECCCheck ........... [0]
15-10-09 16:34:36 Info          7 6116 ST-XX NxS5LK STARTUP |   ResetOptionMOBYMode ........... [9]
15-10-09 16:34:36 Info          6 6116 ST-XX NxS5LK STARTUP |   ResetOptionSLGChoice .......... [0]
15-10-09 16:34:36 Info          5 6116 ST-XX NxS5LK STARTUP |   ResetOptionDAFunction ......... [0]
15-10-09 16:34:36 Info          4 6116 ST-XX NxS5LK STARTUP |   ResetOptionFieldTest .......... [0]
15-10-09 16:34:36 Info          3 6116 ST-XX NxS5LK STARTUP |   ResetOptionMDSTimeout ......... [0]
15-10-09 16:34:36 Info          2 6116 ST-XX NxS5LK STARTUP |   ResetOptionClearErrorLED ...... [1]
15-10-09 16:34:36 Info          1 6116 ST-XX NxS5LK STARTUP | InitiateDpCommunication(): PROFIBUS Initialization. g_CpName[CP_L2_1:] g_DataBaseFilePath[(null)]
15-10-09 16:34:36 Info          0 6116 ST-XX NxS5LK STARTUP | InitiateDpCommunication(): DP_start_cp FAILED. errorClass[5] errorText[error_class (5h):
Error message of the driver.

Error (3028h):
The CP name doesn't exist.Create the required CP name in the Set PG/PC Interface program as a newaccess point and link it to a CP.]
15-10-09 16:36:03 Info          0 4328 ST-XX NxS5LK STARTUP | Global configuration
15-10-09 16:36:03 Info         79 4328 ST-XX NxS5LK STARTUP |   RegistryPath ...... [SYSTEM\CurrentControlSet\Services\NxS5LK\Parameters]
15-10-09 16:36:03 Info         83 4328 ST-XX NxS5LK STARTUP |   LkRegistryPath .... [SYSTEM\CurrentControlSet\Services\NxS5LK\Parameters\LK]
15-10-09 16:36:03 Info         82 4328 ST-XX NxS5LK STARTUP |   SlgRegistryPath ... [SYSTEM\CurrentControlSet\Services\NxS5LK\Parameters\SLG]
15-10-09 16:36:03 Info         82 4328 ST-XX NxS5LK STARTUP | 
15-10-09 16:36:03 Info         81 4328 ST-XX NxS5LK STARTUP |   ProfibusConfigurationFile ... [.\cpbslv38.2bf]
15-10-09 16:36:03 Info         80 4328 ST-XX NxS5LK STARTUP | 
15-10-09 16:36:03 Info         79 4328 ST-XX NxS5LK STARTUP |   LkCnfPath ................... [.\LKs.cnf]
15-10-09 16:36:03 Info         78 4328 ST-XX NxS5LK STARTUP |   Asm450SlgCnfPath ............ [.\Asm450Slgs.cnf]
15-10-09 16:36:03 Info         77 4328 ST-XX NxS5LK STARTUP |   Im308cSlgCnfPath ............ [.\Im308cSlgs.cnf]
15-10-09 16:36:03 Info         76 4328 ST-XX NxS5LK STARTUP | 
15-10-09 16:36:03 Info         75 4328 ST-XX NxS5LK STARTUP |   StartupLogFile .............. [.\NxS5LK.Startup.LOG]
15-10-09 16:36:03 Info         74 4328 ST-XX NxS5LK STARTUP |   UseStartupLogFile ........... [1]
15-10-09 16:36:03 Info         74 4328 ST-XX NxS5LK STARTUP |   StartupLogFileSizeMinB ...... [524288]
15-10-09 16:36:03 Info         73 4328 ST-XX NxS5LK STARTUP |   StartupLogFileSizeMaxB ...... [1048576]
15-10-09 16:36:03 Info         72 4328 ST-XX NxS5LK STARTUP | 
15-10-09 16:36:03 Info         71 4328 ST-XX NxS5LK STARTUP |   LogFile ..................... [.\NxS5LK.LOG]
15-10-09 16:36:03 Info         70 4328 ST-XX NxS5LK STARTUP |   UseLogFile .................. [0]
15-10-09 16:36:03 Info         69 4328 ST-XX NxS5LK STARTUP |   LogFileSizeMinB ............. [524288]
15-10-09 16:36:03 Info         68 4328 ST-XX NxS5LK STARTUP |   LogFileSizeMaxB ............. [1048576]
15-10-09 16:36:03 Info         67 4328 ST-XX NxS5LK STARTUP | 
15-10-09 16:36:03 Info         66 4328 ST-XX NxS5LK STARTUP |   InfoLogFile ................. [.\NxS5LK.Info.LOG]
15-10-09 16:36:03 Info         65 4328 ST-XX NxS5LK STARTUP |   UseInfoLogFile .............. [1]
15-10-09 16:36:03 Info         64 4328 ST-XX NxS5LK STARTUP |   InfoLogFileSizeMinB ......... [524288]
15-10-09 16:36:03 Info         63 4328 ST-XX NxS5LK STARTUP |   InfoLogFileSizeMaxB ......... [1048576]
15-10-09 16:36:03 Info         62 4328 ST-XX NxS5LK STARTUP | 
15-10-09 16:36:03 Info         61 4328 ST-XX NxS5LK STARTUP | LK specific configuration
15-10-09 16:36:03 Info         60 4328 ST-XX NxS5LK STARTUP |   FirstLkAliveMsgDelaySec ..... [10]
15-10-09 16:36:03 Info         59 4328 ST-XX NxS5LK STARTUP |   LkAliveMsgIntervalSec ....... [28]
15-10-09 16:36:03 Info         58 4328 ST-XX NxS5LK STARTUP |   LkAliveMsgJitterSec ......... [2]
15-10-09 16:36:03 Info         57 4328 ST-XX NxS5LK STARTUP | 
